Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Architecting Time-Critical Big-Data Systems,"Basanta-Val, P.; Audsley, N. C.; Wellings, A. J.; Gray, I.; Fernandez-Garcia, N.",unknown,2016
,2,<bold>D</bold>ense <bold>o</bold>r <bold>S</bold>parse : Elastic SPMM Implementation for Optimal Big-Data Processing,"Choi, Unho",unknown,2022
,3,A Game Theoretic Approach for Addressing Domain-Shift in Big-Data,"Raghavan, Krishnan",unknown,2022
,4,A trust-based crowdfunding campaign marketing framework: theoretical underpinnings and big-data analytics practice,"Baah-Peprah, Prince; Shneor, Rotem",Inderscience,2021
,5,Computation migration: a new approach to execute big-data bioinformatics workflows,"Nunes, Rickey T. P.; Deshpande, Santosh L.",Inderscience,2018
,6,"Big Data, Small Personas: How Algorithms Shape the Demographic Representation of Data-Driven User Segments","Salminen, Joni; Chhirang, Kamal; Jung, Soon-Gyo; Thirumuruganathan, Saravanan; Guan, Kathleen W.; Jansen, Bernard J.",Mary Ann Leibert,2022
,7,Big Scholarly Data: A Survey,"Xia, F.; Wang, W.; Bekele, T. M.; Liu, H.",unknown,2017
,8,Data-Efficient Performance Modeling for Configurable Big Data Frameworks by Reducing Information Overlap Between Training Examples,"Liu, Zhiqiang","Elsevier Science B.V., Amsterdam",2022
,9,"Comment on “A Revolution That Will Transform How We Live, Work, and Think: An Interview with the Authors of Big Data”","PIATETSKY-SHAPIRO, G.",Mary Ann Liebert,2013
,10,Predictive Modeling With Big Data: Is Bigger Really Better?,"JUNQUé DE FORTUNY, E.;MARTENS, D.PROVOST, F.",Mary Ann Liebert,2013
,11,Scientific Training in the Era of Big Data: A New Pedagogy for Graduate Education,unknown,Mary Ann Leibert,2017
,12,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2022
,13,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay",Mary Ann Leibert,2021
,14,Scalable Data Quality for Big Data: The Pythia Framework for Handling Missing Values,unknown,Mary Ann Leibert,2015
,15,"Authors' Response to Gong's, “Comment on Data Science and its Relationship to Big Data and Data-Driven Decision Making”",unknown,Mary Ann Leibert,2014
,16,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2021
,17,"Bring it on, Big Data: Beyond the Hype",unknown,Mary Ann Leibert,2014
,18,"Correction to: Predictive Modeling with Big Data: Is Bigger Really Better? by Junqué de Fortuny E, Martens D, and Provost F. Big Data 2013;1(4):215–226.",unknown,Mary Ann Leibert,2019
,19,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2019
