시도군구,시도_x,군구_x,count,시도_y,군구_y,총인구수 (명),남자인구수 (명),여자인구수 (명)
강원특별자치도 강릉시,강원특별자치도,강릉시,4,강원특별자치도,강릉시,207543,102789,104754
강원특별자치도 동해시,강원특별자치도,동해시,1,강원특별자치도,동해시,87571,44439,43132
강원특별자치도 삼척시,강원특별자치도,삼척시,1,강원특별자치도,삼척시,61464,31279,30185
강원특별자치도 속초시,강원특별자치도,속초시,1,강원특별자치도,속초시,80754,39851,40903
강원특별자치도 양구군,강원특별자치도,양구군,1,강원특별자치도,양구군,20552,10749,9803
강원특별자치도 영월군,강원특별자치도,영월군,1,강원특별자치도,영월군,36603,18918,17685
강원특별자치도 원주시,강원특별자치도,원주시,2,강원특별자치도,원주시,362159,179271,182888
강원특별자치도 정선군,강원특별자치도,정선군,2,강원특별자치도,정선군,33487,17467,16020
강원특별자치도 춘천시,강원특별자치도,춘천시,5,강원특별자치도,춘천시,285864,141059,144805
강원특별자치도 태백시,강원특별자치도,태백시,1,강원특별자치도,태백시,37875,19140,18735
강원특별자치도 홍천군,강원특별자치도,홍천군,1,강원특별자치도,홍천군,66661,34408,32253
경기도 가평군,경기도,가평군,1,경기도,가평군,62472,32165,30307
경기도 고양시,경기도,고양시,4,경기도,고양시,1069131,520912,548219
경기도 남양주시,경기도,남양주시,5,경기도,남양주시,732191,362441,369750
경기도 동두천시,경기도,동두천시,1,경기도,동두천시,86807,43260,43547
경기도 부천시,경기도,부천시,1,경기도,부천시,769084,379519,389565
경기도 성남시,경기도,성남시,2,경기도,성남시,912708,451277,461431
경기도 수원시,경기도,수원시,1,경기도,수원시,1192256,599280,592976
경기도 시흥시,경기도,시흥시,1,경기도,시흥시,517511,269669,247842
경기도 안산시,경기도,안산시,2,경기도,안산시,619381,317278,302103
경기도 안성시,경기도,안성시,1,경기도,안성시,194007,100275,93732
경기도 양주시,경기도,양주시,1,경기도,양주시,289527,145726,143801
경기도 양평군,경기도,양평군,1,경기도,양평군,126792,63577,63215
경기도 여주시,경기도,여주시,1,경기도,여주시,114562,58338,56224
경기도 용인시,경기도,용인시,4,경기도,용인시,1087144,538630,548514
경기도 의정부시,경기도,의정부시,1,경기도,의정부시,461142,226410,234732
경기도 이천시,경기도,이천시,1,경기도,이천시,222420,116032,106388
경기도 파주시,경기도,파주시,1,경기도,파주시,513627,259434,254193
경기도 평택시,경기도,평택시,1,경기도,평택시,599138,314577,284561
경기도 포천시,경기도,포천시,2,경기도,포천시,141444,74760,66684
경기도 화성시,경기도,화성시,1,경기도,화성시,971835,504386,467449
경상남도 거창군,경상남도,거창군,2,경상남도,거창군,59514,29241,30273
경상남도 김해시,경상남도,김해시,1,경상남도,김해시,531683,268986,262697
경상남도 남해군,경상남도,남해군,1,경상남도,남해군,39730,19343,20387
경상남도 사천시,경상남도,사천시,2,경상남도,사천시,108420,55016,53404
경상남도 양산시,경상남도,양산시,4,경상남도,양산시,359920,180253,179667
경상남도 의령군,경상남도,의령군,1,경상남도,의령군,25094,12532,12562
경상남도 진주시,경상남도,진주시,1,경상남도,진주시,338449,167242,171207
경상남도 창녕군,경상남도,창녕군,1,경상남도,창녕군,56040,28092,27948
경상남도 창원시,경상남도,창원시,7,경상남도,창원시,999399,505837,493562
경상남도 통영시,경상남도,통영시,2,경상남도,통영시,118250,59380,58870
경상북도 경산시,경상북도,경산시,2,경상북도,경산시,266013,133658,132355
경상북도 경주시,경상북도,경주시,1,경상북도,경주시,244589,122546,122043
경상북도 고령군,경상북도,고령군,1,경상북도,고령군,30041,15500,14541
경상북도 구미시,경상북도,구미시,1,경상북도,구미시,404395,208838,195557
경상북도 김천시,경상북도,김천시,2,경상북도,김천시,135610,68184,67426
경상북도 문경시,경상북도,문경시,1,경상북도,문경시,67025,32936,34089
경상북도 봉화군,경상북도,봉화군,1,경상북도,봉화군,28719,14685,14034
경상북도 상주시,경상북도,상주시,2,경상북도,상주시,91784,45304,46480
경상북도 안동시,경상북도,안동시,2,경상북도,안동시,152902,75689,77213
경상북도 영주시,경상북도,영주시,1,경상북도,영주시,98782,49138,49644
경상북도 울릉군,경상북도,울릉군,1,경상북도,울릉군,9063,5110,3953
경상북도 울진군,경상북도,울진군,2,경상북도,울진군,46106,23375,22731
경상북도 의성군,경상북도,의성군,1,경상북도,의성군,48620,24224,24396
경상북도 청도군,경상북도,청도군,1,경상북도,청도군,40544,20183,20361
경상북도 칠곡군,경상북도,칠곡군,1,경상북도,칠곡군,107142,56270,50872
경상북도 포항시,경상북도,포항시,3,경상북도,포항시,491439,249576,241863
광주광역시 광산구,광주광역시,광산구,3,광주광역시,광산구,391166,197448,193718
광주광역시 남구,광주광역시,남구,2,광주광역시,남구,208004,99428,108576
광주광역시 동구,광주광역시,동구,1,광주광역시,동구,105910,52047,53863
광주광역시 북구,광주광역시,북구,2,광주광역시,북구,423403,209308,214095
