store,address,phone,address2,_GC_TYPE,_CLEANADDR,_X,_Y
학동역 DT점,서울시 강남구 학동로 211 1층,02-3444-9973,서울특별시 강남구 학동로 211 1층,정,서울특별시 강남구 학동로 211 (논현동),127.03207477809852,37.51469338372007
메가박스점,서울 강남구 삼성동 159 코엑스몰 지하2층,02-6002-3320,서울특별시 강남구 삼성동 159 코엑스몰 지하2층,정,서울특별시 강남구 삼성동 159,127.05882788390016,37.51259685678259
강남에스점,서울시 서초구 서초 1306-3호,02-593-5095,서울특별시 서초구 서초 1306-3호,정,서울특별시 서초구 서초동 1306,127.02576679158672,37.500455387240365
수서점,서울시 강남구 광평로 280 수서동 724호,02-3412-2326,서울특별시 강남구 광평로 280 수서동 724호,정,서울특별시 강남구 광평로 280 (수서동),127.10307871209781,37.487309156695375
차병원점,서울시 강남구 논현로 566 강남차병원1층,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,정,서울특별시 강남구 논현로 566 (역삼동),127.03473811283061,37.50703961314565
강남대로점,서울시 서초구 강남대로 369 1층,02-588-5778,서울특별시 서초구 강남대로 369 1층,정,서울특별시 서초구 강남대로 369 (서초동),127.02820816295831,37.49567407019134
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",정,서울특별시 강남구 압구정로 461 (청담동),127.04723314375501,37.5252497901454
압구정에스점,서울시 강남구 압구정로 46길 3,02-541-5832,서울특별시 강남구 압구정로 46길 3,유,서울특별시 강남구 압구정로46길 4 (신사동),127.03664021774429,37.52839196081141
신사점,서울시 강남구 도산대로 126,02-548-2741,서울특별시 강남구 도산대로 126,정,서울특별시 강남구 도산대로 126 (논현동),127.02240959317812,37.51696625733457
압구정역점,서울시 강남구 논현로 842 압구정빌딩1층,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층,정,서울특별시 강남구 논현로 842 (신사동),127.0287288245563,37.523958506966835
역삼점,"서울시 강남구 논현로 512  지상1,2층",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층",정,서울특별시 강남구 논현로 512 (역삼동),127.03652127879646,37.50234990298033
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",유,서울특별시 강남구 언주로30길 10 (도곡동),127.05155363011512,37.487339435701706
공항터미널앞점,서울시 강남구 테헤란로 87길 17 1층,02-539-5174,서울특별시 강남구 테헤란로 87길 17 1층,정,서울특별시 강남구 테헤란로87길 17 (삼성동),127.05832178910876,37.50872810127264
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,정,서울특별시 서초구 강남대로 213 (양재동),127.03490600102366,37.482727476919436
영동점,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,정,서울특별시 서초구 반포동 736-17,127.02279287358077,37.50679183531405
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,정,서울특별시 강남구 삼성로 716 (청담동),127.05002409627461,37.51990947521295
영동고앞점,"서울시 강남구 선릉로 749 1,2층",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층",유,서울특별시 강남구 선릉로 749 (논현동),127.039453736855,37.52148771665884
압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층,02-3445-5093,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,정,서울특별시 강남구 선릉로157길 12 (신사동),127.03901263504208,37.52611450661664
교대점,서울시 서초구 서초중앙로 118  1층,02-585-3981,서울특별시 서초구 서초중앙로 118 1층,정,서울특별시 서초구 서초중앙로 118 (서초동),127.01422857554502,37.4924198910902
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호",정,서울특별시 강남구 도산대로49길 13 (신사동),127.03708376881623,37.523756360569294
대치한티점,서울시 강남구 선릉로 64길 23 1층,02-557-0510,서울특별시 강남구 선릉로 64길 23 1층,정,서울특별시 강남구 선릉로64길 23 (대치동),127.05417825242736,37.49830053879956
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-6002-6470,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,정,서울특별시 강남구 영동대로 511 (삼성동),127.06099979973578,37.510321267700924
대치포스코뒷점,서울시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동,02-3453-8077,서울특별시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동,정,서울특별시 강남구 삼성로85길 11 (대치동),127.05631742022639,37.50498630073347
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,정,서울특별시 강남구 논현동 231,127.0359642205284,37.510047131468134
삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층,02-3466-8507,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,정,서울특별시 강남구 영동대로 513 (삼성동),127.05903692464555,37.51201832920066
삼성봉은사거리점,"서울시 강남구 영동대로 607 12번지 1,2층",02-3443-5618,"서울특별시 강남구 영동대로 607 12번지 1,2층",유,서울특별시 강남구 영동대로 607 (삼성동),127.05948692536901,37.514548646463794
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,유,서울특별시 서초구 강남대로51길 1 (서초동),127.03026258079018,37.491287912705786
